net,length_um
net9,43
net10,40.44
net1,36.56
net8,34.56
net2,28.36
net3,21.32
net13,20.44
net16,18.82
net12,17.3
net5,17.1
in[7],12.79
net14,12.28
out[0],11.89
net15,11.24
in[0],11.07
out[7],10.61
net6,9.96
net4,9.36
net7,7.56
out[6],6.69
in[1],6.33
in[5],6.31
in[3],5.97
net11,5.34
out[3],5.29
out[5],5.29
in[4],4.95
in[2],4.61
in[6],4.61
out[1],3.93
out[2],3.93
out[4],3.93
